Id,Title,Acceptance,Difficulty,Frequency,Link
291,Word Pattern II,43.5%,Hard,6.85072,https://leetcode.com/problems/word-pattern-ii
292,Nim Game,54.9%,Easy,15.9827,https://leetcode.com/problems/nim-game
293,Flip Game,60.7%,Easy,0.0,https://leetcode.com/problems/flip-game
294,Flip Game II,50.1%,Medium,3.09022,https://leetcode.com/problems/flip-game-ii
295,Find Median from Data Stream,44.8%,Hard,68.8837,https://leetcode.com/problems/find-median-from-data-stream
296,Best Meeting Point,57.6%,Hard,23.5243,https://leetcode.com/problems/best-meeting-point
297,Serialize and Deserialize Binary Tree,47.8%,Hard,72.4062,https://leetcode.com/problems/serialize-and-deserialize-binary-tree
298,Binary Tree Longest Consecutive Sequence,47.3%,Medium,12.2008,https://leetcode.com/problems/binary-tree-longest-consecutive-sequence
299,Bulls and Cows,42.5%,Easy,25.1585,https://leetcode.com/problems/bulls-and-cows
300,Longest Increasing Subsequence,42.7%,Medium,59.5774,https://leetcode.com/problems/longest-increasing-subsequence
301,Remove Invalid Parentheses,43.5%,Hard,65.4967,https://leetcode.com/problems/remove-invalid-parentheses
302,Smallest Rectangle Enclosing Black Pixels,51.7%,Hard,5.53159,https://leetcode.com/problems/smallest-rectangle-enclosing-black-pixels
303,Range Sum Query - Immutable,45.2%,Easy,26.1938,https://leetcode.com/problems/range-sum-query-immutable
304,Range Sum Query 2D - Immutable,38.9%,Medium,40.2972,https://leetcode.com/problems/range-sum-query-2d-immutable
305,Number of Islands II,40.0%,Hard,21.2032,https://leetcode.com/problems/number-of-islands-ii
306,Additive Number,29.4%,Medium,6.67744,https://leetcode.com/problems/additive-number
307,Range Sum Query - Mutable,35.0%,Medium,8.90575,https://leetcode.com/problems/range-sum-query-mutable
308,Range Sum Query 2D - Mutable,36.0%,Hard,9.55996,https://leetcode.com/problems/range-sum-query-2d-mutable
309,Best Time to Buy and Sell Stock with Cooldown,47.5%,Medium,42.15,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown
310,Minimum Height Trees,32.4%,Medium,22.3414,https://leetcode.com/problems/minimum-height-trees
311,Sparse Matrix Multiplication,62.2%,Medium,48.208,https://leetcode.com/problems/sparse-matrix-multiplication
312,Burst Balloons,52.1%,Hard,62.6065,https://leetcode.com/problems/burst-balloons
313,Super Ugly Number,45.3%,Medium,10.9676,https://leetcode.com/problems/super-ugly-number
314,Binary Tree Vertical Order Traversal,45.5%,Medium,51.2635,https://leetcode.com/problems/binary-tree-vertical-order-traversal
315,Count of Smaller Numbers After Self,41.7%,Hard,50.5292,https://leetcode.com/problems/count-of-smaller-numbers-after-self
316,Remove Duplicate Letters,36.1%,Hard,40.5472,https://leetcode.com/problems/remove-duplicate-letters
317,Shortest Distance from All Buildings,41.7%,Hard,43.9577,https://leetcode.com/problems/shortest-distance-from-all-buildings
318,Maximum Product of Word Lengths,51.4%,Medium,0.0,https://leetcode.com/problems/maximum-product-of-word-lengths
319,Bulb Switcher,45.3%,Medium,23.5753,https://leetcode.com/problems/bulb-switcher
320,Generalized Abbreviation,52.3%,Medium,15.892,https://leetcode.com/problems/generalized-abbreviation
321,Create Maximum Number,27.1%,Hard,29.2991,https://leetcode.com/problems/create-maximum-number
322,Coin Change,35.8%,Medium,73.8711,https://leetcode.com/problems/coin-change
323,Number of Connected Components in an Undirected Graph,56.3%,Medium,26.5598,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph
324,Wiggle Sort II,30.0%,Medium,26.9164,https://leetcode.com/problems/wiggle-sort-ii
325,Maximum Size Subarray Sum Equals k,46.8%,Medium,14.8062,https://leetcode.com/problems/maximum-size-subarray-sum-equals-k
326,Power of Three,42.1%,Easy,6.3997,https://leetcode.com/problems/power-of-three
327,Count of Range Sum,35.3%,Hard,17.9084,https://leetcode.com/problems/count-of-range-sum
328,Odd Even Linked List,56.0%,Medium,22.3029,https://leetcode.com/problems/odd-even-linked-list
329,Longest Increasing Path in a Matrix,43.6%,Hard,52.5296,https://leetcode.com/problems/longest-increasing-path-in-a-matrix
330,Patching Array,34.6%,Hard,0.0,https://leetcode.com/problems/patching-array
331,Verify Preorder Serialization of a Binary Tree,40.5%,Medium,0.0,https://leetcode.com/problems/verify-preorder-serialization-of-a-binary-tree
332,Reconstruct Itinerary,36.9%,Medium,54.887,https://leetcode.com/problems/reconstruct-itinerary
333,Largest BST Subtree,36.0%,Medium,26.968,https://leetcode.com/problems/largest-bst-subtree
334,Increasing Triplet Subsequence,40.0%,Medium,24.7721,https://leetcode.com/problems/increasing-triplet-subsequence
335,Self Crossing,28.1%,Hard,33.6343,https://leetcode.com/problems/self-crossing
336,Palindrome Pairs,33.8%,Hard,48.1335,https://leetcode.com/problems/palindrome-pairs
337,House Robber III,50.7%,Medium,25.1515,https://leetcode.com/problems/house-robber-iii
338,Counting Bits,69.7%,Medium,27.457,https://leetcode.com/problems/counting-bits
339,Nested List Weight Sum,74.2%,Easy,32.5196,https://leetcode.com/problems/nested-list-weight-sum
340,Longest Substring with At Most K Distinct Characters,44.3%,Hard,50.6744,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters
341,Flatten Nested List Iterator,53.1%,Medium,56.0613,https://leetcode.com/problems/flatten-nested-list-iterator
342,Power of Four,41.4%,Easy,3.06042,https://leetcode.com/problems/power-of-four
343,Integer Break,50.5%,Medium,22.4143,https://leetcode.com/problems/integer-break
344,Reverse String,68.8%,Easy,44.8469,https://leetcode.com/problems/reverse-string
345,Reverse Vowels of a String,44.3%,Easy,19.7503,https://leetcode.com/problems/reverse-vowels-of-a-string
346,Moving Average from Data Stream,71.3%,Easy,28.3421,https://leetcode.com/problems/moving-average-from-data-stream
347,Top K Frequent Elements,61.4%,Medium,63.9009,https://leetcode.com/problems/top-k-frequent-elements
348,Design Tic-Tac-Toe,54.6%,Medium,56.76,https://leetcode.com/problems/design-tic-tac-toe
349,Intersection of Two Arrays,62.9%,Easy,37.6127,https://leetcode.com/problems/intersection-of-two-arrays
350,Intersection of Two Arrays II,51.5%,Easy,25.9127,https://leetcode.com/problems/intersection-of-two-arrays-ii
351,Android Unlock Patterns,48.6%,Medium,22.7384,https://leetcode.com/problems/android-unlock-patterns
352,Data Stream as Disjoint Intervals,47.6%,Hard,17.0153,https://leetcode.com/problems/data-stream-as-disjoint-intervals
353,Design Snake Game,34.4%,Medium,38.9662,https://leetcode.com/problems/design-snake-game
354,Russian Doll Envelopes,35.6%,Hard,27.7364,https://leetcode.com/problems/russian-doll-envelopes
355,Design Twitter,30.4%,Medium,24.8601,https://leetcode.com/problems/design-twitter
356,Line Reflection,31.9%,Medium,21.8588,https://leetcode.com/problems/line-reflection
357,Count Numbers with Unique Digits,48.4%,Medium,11.8582,https://leetcode.com/problems/count-numbers-with-unique-digits
358,Rearrange String k Distance Apart,35.1%,Hard,11.0939,https://leetcode.com/problems/rearrange-string-k-distance-apart
359,Logger Rate Limiter,70.9%,Easy,41.3668,https://leetcode.com/problems/logger-rate-limiter
360,Sort Transformed Array,49.0%,Medium,2.71787,https://leetcode.com/problems/sort-transformed-array
361,Bomb Enemy,46.1%,Medium,22.9247,https://leetcode.com/problems/bomb-enemy
362,Design Hit Counter,63.9%,Medium,58.0127,https://leetcode.com/problems/design-hit-counter
363,Max Sum of Rectangle No Larger Than K,37.5%,Hard,35.128,https://leetcode.com/problems/max-sum-of-rectangle-no-larger-than-k
364,Nested List Weight Sum II,62.8%,Medium,20.0068,https://leetcode.com/problems/nested-list-weight-sum-ii
365,Water and Jug Problem,30.6%,Medium,42.3266,https://leetcode.com/problems/water-and-jug-problem
366,Find Leaves of Binary Tree,70.8%,Medium,40.199,https://leetcode.com/problems/find-leaves-of-binary-tree
367,Valid Perfect Square,41.7%,Easy,8.03954,https://leetcode.com/problems/valid-perfect-square
368,Largest Divisible Subset,37.9%,Medium,33.9343,https://leetcode.com/problems/largest-divisible-subset
369,Plus One Linked List,58.3%,Medium,2.19605,https://leetcode.com/problems/plus-one-linked-list
370,Range Addition,62.9%,Medium,3.95481,https://leetcode.com/problems/range-addition
371,Sum of Two Integers,50.7%,Medium,40.3467,https://leetcode.com/problems/sum-of-two-integers
372,Super Pow,36.4%,Medium,6.24971,https://leetcode.com/problems/super-pow
373,Find K Pairs with Smallest Sums,36.9%,Medium,36.2516,https://leetcode.com/problems/find-k-pairs-with-smallest-sums
374,Guess Number Higher or Lower,43.3%,Easy,2.35796,https://leetcode.com/problems/guess-number-higher-or-lower
375,Guess Number Higher or Lower II,40.3%,Medium,20.6733,https://leetcode.com/problems/guess-number-higher-or-lower-ii
376,Wiggle Subsequence,39.7%,Medium,20.0818,https://leetcode.com/problems/wiggle-subsequence
377,Combination Sum IV,45.4%,Medium,6.67628,https://leetcode.com/problems/combination-sum-iv
378,Kth Smallest Element in a Sorted Matrix,54.6%,Medium,46.964,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix
379,Design Phone Directory,46.9%,Medium,0.0,https://leetcode.com/problems/design-phone-directory
380,Insert Delete GetRandom O(1),47.7%,Medium,72.5734,https://leetcode.com/problems/insert-delete-getrandom-o1
381,Insert Delete GetRandom O(1) - Duplicates allowed,34.2%,Hard,18.446,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed
382,Linked List Random Node,52.2%,Medium,12.342,https://leetcode.com/problems/linked-list-random-node
383,Ransom Note,53.1%,Easy,31.1596,https://leetcode.com/problems/ransom-note
384,Shuffle an Array,52.9%,Medium,43.0269,https://leetcode.com/problems/shuffle-an-array
385,Mini Parser,33.9%,Medium,10.2094,https://leetcode.com/problems/mini-parser
386,Lexicographical Numbers,52.0%,Medium,18.8744,https://leetcode.com/problems/lexicographical-numbers
387,First Unique Character in a String,53.4%,Easy,53.2598,https://leetcode.com/problems/first-unique-character-in-a-string
388,Longest Absolute File Path,41.8%,Medium,39.8161,https://leetcode.com/problems/longest-absolute-file-path
389,Find the Difference,55.5%,Easy,15.3851,https://leetcode.com/problems/find-the-difference
390,Elimination Game,44.5%,Medium,12.7557,https://leetcode.com/problems/elimination-game
391,Perfect Rectangle,30.4%,Hard,14.3135,https://leetcode.com/problems/perfect-rectangle
392,Is Subsequence,49.2%,Easy,19.6093,https://leetcode.com/problems/is-subsequence
393,UTF-8 Validation,37.6%,Medium,46.7298,https://leetcode.com/problems/utf-8-validation
394,Decode String,50.4%,Medium,77.9109,https://leetcode.com/problems/decode-string
395,Longest Substring with At Least K Repeating Characters,41.5%,Medium,47.2886,https://leetcode.com/problems/longest-substring-with-at-least-k-repeating-characters
396,Rotate Function,36.3%,Medium,1.85884,https://leetcode.com/problems/rotate-function
397,Integer Replacement,33.0%,Medium,21.8261,https://leetcode.com/problems/integer-replacement
398,Random Pick Index,56.3%,Medium,27.4926,https://leetcode.com/problems/random-pick-index
399,Evaluate Division,51.9%,Medium,43.8532,https://leetcode.com/problems/evaluate-division
400,Nth Digit,31.9%,Medium,30.8548,https://leetcode.com/problems/nth-digit
401,Binary Watch,47.7%,Easy,17.4406,https://leetcode.com/problems/binary-watch
402,Remove K Digits,28.4%,Medium,42.2341,https://leetcode.com/problems/remove-k-digits
403,Frog Jump,40.0%,Hard,55.2647,https://leetcode.com/problems/frog-jump
404,Sum of Left Leaves,52.0%,Easy,1.88625,https://leetcode.com/problems/sum-of-left-leaves
405,Convert a Number to Hexadecimal,44.0%,Easy,6.66105,https://leetcode.com/problems/convert-a-number-to-hexadecimal
406,Queue Reconstruction by Height,67.0%,Medium,49.1624,https://leetcode.com/problems/queue-reconstruction-by-height
407,Trapping Rain Water II,42.6%,Hard,50.6781,https://leetcode.com/problems/trapping-rain-water-ii
408,Valid Word Abbreviation,30.7%,Easy,22.1809,https://leetcode.com/problems/valid-word-abbreviation
409,Longest Palindrome,51.8%,Easy,17.5996,https://leetcode.com/problems/longest-palindrome
410,Split Array Largest Sum,44.8%,Hard,44.596,https://leetcode.com/problems/split-array-largest-sum
411,Minimum Unique Word Abbreviation,36.4%,Hard,0.0,https://leetcode.com/problems/minimum-unique-word-abbreviation
412,Fizz Buzz,63.2%,Easy,38.8735,https://leetcode.com/problems/fizz-buzz
413,Arithmetic Slices,58.0%,Medium,21.4252,https://leetcode.com/problems/arithmetic-slices
414,Third Maximum Number,30.5%,Easy,20.7337,https://leetcode.com/problems/third-maximum-number
415,Add Strings,47.7%,Easy,77.4669,https://leetcode.com/problems/add-strings
416,Partition Equal Subset Sum,43.9%,Medium,31.3921,https://leetcode.com/problems/partition-equal-subset-sum
417,Pacific Atlantic Water Flow,41.4%,Medium,41.9976,https://leetcode.com/problems/pacific-atlantic-water-flow
418,Sentence Screen Fitting,32.7%,Medium,6.87295,https://leetcode.com/problems/sentence-screen-fitting
419,Battleships in a Board,70.2%,Medium,41.7732,https://leetcode.com/problems/battleships-in-a-board
420,Strong Password Checker,13.7%,Hard,67.7859,https://leetcode.com/problems/strong-password-checker
421,Maximum XOR of Two Numbers in an Array,53.7%,Medium,37.865,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array
422,Valid Word Square,37.8%,Easy,6.75148,https://leetcode.com/problems/valid-word-square
423,Reconstruct Original Digits from English,47.0%,Medium,0.0,https://leetcode.com/problems/reconstruct-original-digits-from-english
424,Longest Repeating Character Replacement,47.2%,Medium,29.4912,https://leetcode.com/problems/longest-repeating-character-replacement
425,Word Squares,47.8%,Hard,14.0516,https://leetcode.com/problems/word-squares
426,Convert Binary Search Tree to Sorted Doubly Linked List,59.4%,Medium,36.4727,https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list
427,Construct Quad Tree,61.5%,Medium,29.6263,https://leetcode.com/problems/construct-quad-tree
428,Serialize and Deserialize N-ary Tree,59.6%,Hard,50.0391,https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree
429,N-ary Tree Level Order Traversal,65.3%,Medium,4.02269,https://leetcode.com/problems/n-ary-tree-level-order-traversal
430,Flatten a Multilevel Doubly Linked List,55.6%,Medium,45.0337,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list
431,Encode N-ary Tree to Binary Tree,71.0%,Hard,5.56866,https://leetcode.com/problems/encode-n-ary-tree-to-binary-tree
432,All O`one Data Structure,32.5%,Hard,51.1653,https://leetcode.com/problems/all-oone-data-structure
433,Minimum Genetic Mutation,42.1%,Medium,6.1004,https://leetcode.com/problems/minimum-genetic-mutation
434,Number of Segments in a String,37.8%,Easy,4.5611,https://leetcode.com/problems/number-of-segments-in-a-string
435,Non-overlapping Intervals,43.4%,Medium,26.2377,https://leetcode.com/problems/non-overlapping-intervals
436,Find Right Interval,47.9%,Medium,1.14776,https://leetcode.com/problems/find-right-interval
437,Path Sum III,47.3%,Medium,17.3332,https://leetcode.com/problems/path-sum-iii
438,Find All Anagrams in a String,43.6%,Medium,55.5798,https://leetcode.com/problems/find-all-anagrams-in-a-string
439,Ternary Expression Parser,56.0%,Medium,0.0,https://leetcode.com/problems/ternary-expression-parser
440,K-th Smallest in Lexicographical Order,29.2%,Hard,33.4294,https://leetcode.com/problems/k-th-smallest-in-lexicographical-order
441,Arranging Coins,41.9%,Easy,12.1864,https://leetcode.com/problems/arranging-coins
442,Find All Duplicates in an Array,67.9%,Medium,49.7367,https://leetcode.com/problems/find-all-duplicates-in-an-array
443,String Compression,41.5%,Easy,55.4597,https://leetcode.com/problems/string-compression
444,Sequence Reconstruction,22.6%,Medium,21.6015,https://leetcode.com/problems/sequence-reconstruction
445,Add Two Numbers II,54.8%,Medium,64.1529,https://leetcode.com/problems/add-two-numbers-ii
446,Arithmetic Slices II - Subsequence,32.8%,Hard,23.9153,https://leetcode.com/problems/arithmetic-slices-ii-subsequence
447,Number of Boomerangs,51.9%,Easy,6.98716,https://leetcode.com/problems/number-of-boomerangs
448,Find All Numbers Disappeared in an Array,56.0%,Easy,36.3208,https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array
449,Serialize and Deserialize BST,52.3%,Medium,35.4582,https://leetcode.com/problems/serialize-and-deserialize-bst
450,Delete Node in a BST,44.3%,Medium,11.6965,https://leetcode.com/problems/delete-node-in-a-bst
451,Sort Characters By Frequency,63.2%,Medium,26.4258,https://leetcode.com/problems/sort-characters-by-frequency
452,Minimum Number of Arrows to Burst Balloons,49.7%,Medium,20.7911,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons
453,Minimum Moves to Equal Array Elements,50.3%,Easy,46.0664,https://leetcode.com/problems/minimum-moves-to-equal-array-elements
454,4Sum II,53.3%,Medium,19.3484,https://leetcode.com/problems/4sum-ii
455,Assign Cookies,49.9%,Easy,7.98174,https://leetcode.com/problems/assign-cookies
456,132 Pattern,28.9%,Medium,24.1309,https://leetcode.com/problems/132-pattern
457,Circular Array Loop,29.4%,Medium,19.237,https://leetcode.com/problems/circular-array-loop
458,Poor Pigs,47.6%,Hard,0.0,https://leetcode.com/problems/poor-pigs
459,Repeated Substring Pattern,43.1%,Easy,8.88876,https://leetcode.com/problems/repeated-substring-pattern
460,LFU Cache,34.5%,Hard,58.2313,https://leetcode.com/problems/lfu-cache
461,Hamming Distance,72.9%,Easy,19.6838,https://leetcode.com/problems/hamming-distance
462,Minimum Moves to Equal Array Elements II,53.9%,Medium,6.70445,https://leetcode.com/problems/minimum-moves-to-equal-array-elements-ii
463,Island Perimeter,65.8%,Easy,43.1117,https://leetcode.com/problems/island-perimeter
464,Can I Win,28.9%,Medium,8.11244,https://leetcode.com/problems/can-i-win
465,Optimal Account Balancing,46.9%,Hard,46.678,https://leetcode.com/problems/optimal-account-balancing
466,Count The Repetitions,28.3%,Hard,21.9286,https://leetcode.com/problems/count-the-repetitions
467,Unique Substrings in Wraparound String,35.7%,Medium,21.2398,https://leetcode.com/problems/unique-substrings-in-wraparound-string
468,Validate IP Address,24.2%,Medium,45.3051,https://leetcode.com/problems/validate-ip-address
469,Convex Polygon,37.0%,Medium,0.0,https://leetcode.com/problems/convex-polygon
470,Implement Rand10() Using Rand7(),45.7%,Medium,2.64204,https://leetcode.com/problems/implement-rand10-using-rand7
471,Encode String with Shortest Length,47.2%,Hard,19.5905,https://leetcode.com/problems/encode-string-with-shortest-length
472,Concatenated Words,44.1%,Hard,57.7278,https://leetcode.com/problems/concatenated-words
473,Matchsticks to Square,37.7%,Medium,19.2572,https://leetcode.com/problems/matchsticks-to-square
474,Ones and Zeroes,43.0%,Medium,0.80698,https://leetcode.com/problems/ones-and-zeroes
475,Heaters,33.2%,Easy,6.16199,https://leetcode.com/problems/heaters
476,Number Complement,64.8%,Easy,0.618792,https://leetcode.com/problems/number-complement
477,Total Hamming Distance,50.5%,Medium,14.1198,https://leetcode.com/problems/total-hamming-distance
478,Generate Random Point in a Circle,38.6%,Medium,4.89489,https://leetcode.com/problems/generate-random-point-in-a-circle
479,Largest Palindrome Product,29.1%,Hard,8.83694,https://leetcode.com/problems/largest-palindrome-product
480,Sliding Window Median,37.5%,Hard,51.7228,https://leetcode.com/problems/sliding-window-median
481,Magical String,47.6%,Medium,0.0,https://leetcode.com/problems/magical-string
482,License Key Formatting,43.0%,Easy,8.1681,https://leetcode.com/problems/license-key-formatting
483,Smallest Good Base,35.8%,Hard,7.03166,https://leetcode.com/problems/smallest-good-base
484,Find Permutation,63.6%,Medium,3.3841,https://leetcode.com/problems/find-permutation
485,Max Consecutive Ones,54.3%,Easy,10.0271,https://leetcode.com/problems/max-consecutive-ones
486,Predict the Winner,48.0%,Medium,5.73963,https://leetcode.com/problems/predict-the-winner
487,Max Consecutive Ones II,48.4%,Medium,5.24142,https://leetcode.com/problems/max-consecutive-ones-ii
488,Zuma Game,39.8%,Hard,4.48736,https://leetcode.com/problems/zuma-game
489,Robot Room Cleaner,70.8%,Hard,21.8937,https://leetcode.com/problems/robot-room-cleaner
490,The Maze,52.1%,Medium,12.507,https://leetcode.com/problems/the-maze
491,Increasing Subsequences,46.4%,Medium,16.0822,https://leetcode.com/problems/increasing-subsequences
492,Construct the Rectangle,49.7%,Easy,6.55858,https://leetcode.com/problems/construct-the-rectangle
493,Reverse Pairs,25.3%,Hard,33.2825,https://leetcode.com/problems/reverse-pairs
494,Target Sum,46.1%,Medium,37.9211,https://leetcode.com/problems/target-sum
495,Teemo Attacking,53.6%,Medium,0.0,https://leetcode.com/problems/teemo-attacking
496,Next Greater Element I,64.2%,Easy,30.8608,https://leetcode.com/problems/next-greater-element-i
497,Random Point in Non-overlapping Rectangles,38.9%,Medium,0.0687667,https://leetcode.com/problems/random-point-in-non-overlapping-rectangles
498,Diagonal Traverse,48.4%,Medium,43.4213,https://leetcode.com/problems/diagonal-traverse
499,The Maze III,41.3%,Hard,0.0,https://leetcode.com/problems/the-maze-iii
500,Keyboard Row,64.9%,Easy,5.70164,https://leetcode.com/problems/keyboard-row
501,Find Mode in Binary Search Tree,42.5%,Easy,8.22529,https://leetcode.com/problems/find-mode-in-binary-search-tree
502,IPO,40.5%,Hard,21.5761,https://leetcode.com/problems/ipo
503,Next Greater Element II,56.8%,Medium,30.8574,https://leetcode.com/problems/next-greater-element-ii
504,Base 7,46.3%,Easy,5.3969,https://leetcode.com/problems/base-7
505,The Maze II,47.8%,Medium,14.0123,https://leetcode.com/problems/the-maze-ii
506,Relative Ranks,50.6%,Easy,3.8414,https://leetcode.com/problems/relative-ranks
507,Perfect Number,35.5%,Easy,15.2991,https://leetcode.com/problems/perfect-number
508,Most Frequent Subtree Sum,58.1%,Medium,3.53928,https://leetcode.com/problems/most-frequent-subtree-sum
509,Fibonacci Number,67.2%,Easy,37.0283,https://leetcode.com/problems/fibonacci-number
510,Inorder Successor in BST II,58.3%,Medium,24.1991,https://leetcode.com/problems/inorder-successor-in-bst-ii
511,Game Play Analysis I,80.9%,Easy,0.0,https://leetcode.com/problems/game-play-analysis-i
512,Game Play Analysis II,55.6%,Easy,1.07608,https://leetcode.com/problems/game-play-analysis-ii
513,Find Bottom Left Tree Value,61.6%,Medium,9.04796,https://leetcode.com/problems/find-bottom-left-tree-value
514,Freedom Trail,43.2%,Hard,34.3196,https://leetcode.com/problems/freedom-trail
515,Find Largest Value in Each Tree Row,61.3%,Medium,22.6248,https://leetcode.com/problems/find-largest-value-in-each-tree-row
516,Longest Palindromic Subsequence,53.6%,Medium,33.7201,https://leetcode.com/problems/longest-palindromic-subsequence
517,Super Washing Machines,38.3%,Hard,7.11219,https://leetcode.com/problems/super-washing-machines
518,Coin Change 2,50.4%,Medium,55.1907,https://leetcode.com/problems/coin-change-2
519,Random Flip Matrix,37.0%,Medium,0.0,https://leetcode.com/problems/random-flip-matrix
520,Detect Capital,53.8%,Easy,0.119572,https://leetcode.com/problems/detect-capital
521,Longest Uncommon Subsequence I,57.8%,Easy,0.0,https://leetcode.com/problems/longest-uncommon-subsequence-i
522,Longest Uncommon Subsequence II,33.9%,Medium,7.33634,https://leetcode.com/problems/longest-uncommon-subsequence-ii
523,Continuous Subarray Sum,24.6%,Medium,50.1067,https://leetcode.com/problems/continuous-subarray-sum
524,Longest Word in Dictionary through Deleting,48.6%,Medium,19.0578,https://leetcode.com/problems/longest-word-in-dictionary-through-deleting
525,Contiguous Array,42.9%,Medium,38.5475,https://leetcode.com/problems/contiguous-array
526,Beautiful Arrangement,58.2%,Medium,32.2976,https://leetcode.com/problems/beautiful-arrangement
527,Word Abbreviation,54.6%,Hard,20.6193,https://leetcode.com/problems/word-abbreviation
528,Random Pick with Weight,44.1%,Medium,63.1795,https://leetcode.com/problems/random-pick-with-weight
529,Minesweeper,59.4%,Medium,51.4962,https://leetcode.com/problems/minesweeper
530,Minimum Absolute Difference in BST,53.9%,Easy,1.23939,https://leetcode.com/problems/minimum-absolute-difference-in-bst
531,Lonely Pixel I,59.1%,Medium,0.0,https://leetcode.com/problems/lonely-pixel-i
532,K-diff Pairs in an Array,31.7%,Easy,43.4111,https://leetcode.com/problems/k-diff-pairs-in-an-array
533,Lonely Pixel II,48.0%,Medium,0.0,https://leetcode.com/problems/lonely-pixel-ii
534,Game Play Analysis III,76.5%,Medium,2.77408,https://leetcode.com/problems/game-play-analysis-iii
535,Encode and Decode TinyURL,80.0%,Medium,43.9119,https://leetcode.com/problems/encode-and-decode-tinyurl
536,Construct Binary Tree from String,48.5%,Medium,15.9992,https://leetcode.com/problems/construct-binary-tree-from-string
537,Complex Number Multiplication,67.5%,Medium,0.0,https://leetcode.com/problems/complex-number-multiplication
538,Convert BST to Greater Tree,55.6%,Easy,11.8659,https://leetcode.com/problems/convert-bst-to-greater-tree
539,Minimum Time Difference,51.7%,Medium,39.5646,https://leetcode.com/problems/minimum-time-difference
540,Single Element in a Sorted Array,57.9%,Medium,47.628,https://leetcode.com/problems/single-element-in-a-sorted-array
541,Reverse String II,48.5%,Easy,11.4363,https://leetcode.com/problems/reverse-string-ii
542,01 Matrix,40.0%,Medium,24.6092,https://leetcode.com/problems/01-matrix
543,Diameter of Binary Tree,48.6%,Easy,59.5423,https://leetcode.com/problems/diameter-of-binary-tree
544,Output Contest Matches,75.3%,Medium,0.0,https://leetcode.com/problems/output-contest-matches
545,Boundary of Binary Tree,39.1%,Medium,39.2951,https://leetcode.com/problems/boundary-of-binary-tree
546,Remove Boxes,43.1%,Hard,23.4949,https://leetcode.com/problems/remove-boxes
547,Friend Circles,58.9%,Medium,47.5742,https://leetcode.com/problems/friend-circles
548,Split Array with Equal Sum,46.7%,Medium,9.50027,https://leetcode.com/problems/split-array-with-equal-sum
549,Binary Tree Longest Consecutive Sequence II,47.0%,Medium,2.67434,https://leetcode.com/problems/binary-tree-longest-consecutive-sequence-ii
550,Game Play Analysis IV,45.7%,Medium,1.38909,https://leetcode.com/problems/game-play-analysis-iv
551,Student Attendance Record I,46.0%,Easy,10.4571,https://leetcode.com/problems/student-attendance-record-i
552,Student Attendance Record II,36.8%,Hard,17.157,https://leetcode.com/problems/student-attendance-record-ii
553,Optimal Division,56.9%,Medium,3.62782,https://leetcode.com/problems/optimal-division
554,Brick Wall,50.1%,Medium,13.2096,https://leetcode.com/problems/brick-wall
555,Split Concatenated Strings,42.2%,Medium,0.0,https://leetcode.com/problems/split-concatenated-strings
556,Next Greater Element III,31.8%,Medium,34.6808,https://leetcode.com/problems/next-greater-element-iii
557,Reverse Words in a String III,70.2%,Easy,33.6757,https://leetcode.com/problems/reverse-words-in-a-string-iii
558,Logical OR of Two Binary Grids Represented as Quad-Trees,44.7%,Medium,9.13101,https://leetcode.com/problems/logical-or-of-two-binary-grids-represented-as-quad-trees
559,Maximum Depth of N-ary Tree,68.8%,Easy,8.45418,https://leetcode.com/problems/maximum-depth-of-n-ary-tree
560,Subarray Sum Equals K,43.8%,Medium,83.3175,https://leetcode.com/problems/subarray-sum-equals-k
561,Array Partition I,72.1%,Easy,18.1566,https://leetcode.com/problems/array-partition-i
562,Longest Line of Consecutive One in Matrix,45.9%,Medium,11.9428,https://leetcode.com/problems/longest-line-of-consecutive-one-in-matrix
563,Binary Tree Tilt,48.8%,Easy,9.26432,https://leetcode.com/problems/binary-tree-tilt
564,Find the Closest Palindrome,19.8%,Hard,36.3625,https://leetcode.com/problems/find-the-closest-palindrome
565,Array Nesting,55.6%,Medium,4.38113,https://leetcode.com/problems/array-nesting
566,Reshape the Matrix,60.6%,Easy,1.96064,https://leetcode.com/problems/reshape-the-matrix
567,Permutation in String,44.4%,Medium,34.8665,https://leetcode.com/problems/permutation-in-string
568,Maximum Vacation Days,41.0%,Hard,9.61767,https://leetcode.com/problems/maximum-vacation-days
569,Median Employee Salary,58.4%,Hard,7.51026,https://leetcode.com/problems/median-employee-salary
570,Managers with at Least 5 Direct Reports,66.1%,Medium,1.34874,https://leetcode.com/problems/managers-with-at-least-5-direct-reports
571,Find Median Given Frequency of Numbers,45.0%,Hard,0.0,https://leetcode.com/problems/find-median-given-frequency-of-numbers
